tag_id,author_name,author_img,article,stats_vote,stats_comments
qiushi_tag_124909354,捉女妖的天师,//pic.qiushibaike.com/system/avtnew/3149/31495449/thumb/20200228124427.jpg?imageView2/1/w/90/h/90,"


两年前我抱回家一对黑色的狗子，把小儿子高兴坏了，必须得起个好名字，一只叫球球.一只叫贝贝，后来把贝贝送人了，留下了球球一年前，球球产下一子，小儿子又给它起名叫花花半年前球球又又产下四个仔：大白，小白，小黑，小灰五天前球球又又又产下三个仔：围脖，皮鞋，灰毛驴今天小儿子跟我说等这三只小仔子能吃饭了，咱家的球球必须得送人了球球真是能生，名字我是真起不好了，我太难了[捂脸]

",875,21
qiushi_tag_124921262,忧郁的创可贴,//pic.qiushibaike.com/system/avtnew/891/8911456/thumb/20210926193705.jpg?imageView2/1/w/90/h/90,"


被派到广东出差了半个月，回来后对广东的老火靓汤恋恋不忘，于是按照食谱自己煲汤。煲好，尝了一口，我沮丧道：同样是老火靓汤，为什么我煲的就是比不上广东人煲的啊！老公想了想道：可能因为汤底不同吧，听说他们是用福建人做汤底。。。

",683,34
qiushi_tag_124921511,怂包妇女主任,//pic.qiushibaike.com/system/avtnew/4301/43013174/thumb/20210908181733.jpg?imageView2/1/w/90/h/90,"


家里父母回老家奔丧，女同事儿子才六岁没人带，就带到公司里写作业，挺乖的，不吵不闹。她去车间了，儿子遇到作业难题，就问我损友：叔叔，冤冤相报是什么意思？损友一听蒙了，灵机一动，网络上找出两只鸳鸯偎依在一起的图片，把笔记本抱过去给他指导：这就是鸳鸯相抱！

",676,41
qiushi_tag_124921907,无书斋主,//pic.qiushibaike.com/system/avtnew/1753/17535149/thumb/20210411212524.jpg?imageView2/1/w/90/h/90,"


两岁多的儿子和一个三岁多的孩子总打架，每次都被打得哇哇大哭！这小子性格倔，打不赢还拼命的打，看着他哭的样子，我就随口说了句:打不赢，咬啊！昨晚下班回家，在小区广场那个三岁多的孩子哇哇大哭，儿子就像打了胜仗的小公鸡！！小孩的妈妈挡住我:正哥，你儿子说，你教他咬的？？……我……！！！

",604,13
qiushi_tag_124918501,《龙哥哥》,//pic.qiushibaike.com/system/avtnew/4514/45149248/thumb/20210719184916.jpg?imageView2/1/w/90/h/90,"


刚工作时，还是个青涩少年，很多事情不懂。吃午饭时，同事间闲聊，聊着聊着，话题就到了男女差别上，觉得男人具有天生的优势，大部分工作男人做都会完成的更好。一女生当时就急眼了；我们女人有大.姨.妈，你们男人有吗？我当时就不乐意了；瞧你这话说的，就好像谁没有一样！我不但有大.姨.妈，还有小.姨.妈！你看，这个萝卜干是我大.姨.妈做的，这个酱豆是我小.姨.妈做的！

",603,33
qiushi_tag_124919326,挖鼻孔的老虎,//pic.qiushibaike.com/system/avtnew/1722/17221979/thumb/20201028071438.jpg?imageView2/1/w/90/h/90,"


去年我到一家中介咨询机票，一哥们接待了我，他说我要的那条航线暂时没有，让我加他好友，他到时给我报价，后来我收到报价，感觉价钱太贵就没回复他了。今天老婆翻我手机，我在旁边看，发现那哥们转行了，在朋友圈推广一家足疗会所。老婆看了我一眼，意思是我怎么会有这种好友？她点开那哥们的主页，看到朋友圈仅三天可见，再点开聊天记录，只看到一条：3226元，双飞。

",782,15
qiushi_tag_124919014,无书斋主,//pic.qiushibaike.com/system/avtnew/1753/17535149/thumb/20210411212524.jpg?imageView2/1/w/90/h/90,"


今天上午接到老家一个族兄的电话:同族的一个爷爷辈老人过世了，这个老人虽然有儿子，但他儿子全家在非洲回不来，也联系不上，家里就老人夫妻在！最后:安葬老人要捐款！！……想想就捐了五百，微信直接转了过去！！十分钟后，退了回来……微信语音留言:你捐五百太抠搜，最少一千！！……我……！！！……

",655,12
qiushi_tag_124919174,吃了两碗又盛,//pic.qiushibaike.com/system/avtnew/3221/32215536/thumb/20181122212921.jpg?imageView2/1/w/90/h/90,"


上周六，我因事回家，自己开车一个往返要40多，乘客车30，找通勤的私家车20。所以我在通勤群发布了人找车信息。过了一会儿，见没人联系我，想着自己开车再拉几个乘客也能省点，我就又在通勤群发布了车找人，，，，，后来一个人打电话来，第一句话就问:你到底是人还是车？

",1121,30
qiushi_tag_124919449,空城旧梦她与伞,//pic.qiushibaike.com/system/avtnew/648/6480555/thumb/20210830091544.jpg?imageView2/1/w/90/h/90,"


五个月前，好兄弟被派去国外工作，时间为半年。今天兄弟 媳妇说不舒服，我陪同去检查。医院检查发现，兄弟媳妇竟然怀 孕两个月了。她可怜兮兮要我冒充兄弟签字做手术。气得我掏出手机：你这样对得起我兄弟嘛？还想要我签字，我要打电话告诉我兄弟。她瞬间变脸：你今天要是不签字，要是打了这个电话，你猜我会和你兄弟说，孩子是谁的？

",1515,109
qiushi_tag_124919569,正版煮茶,//pic.qiushibaike.com/system/avtnew/3349/33491754/thumb/20190818083518.jpg?imageView2/1/w/90/h/90,"


侄子跟我说他最近学小提琴赚了三百块钱。我问他怎么赚的，表演赚的吗？。他说妈妈为了让他去学，给了他一百。我说另外两百呢？他说一个月后，妈妈为了让他别学了，又给了他两百。

",980,19
